iter	RMSE
0	1.137201742
1	1.129005167
2	1.121099871
3	1.114076584
4	1.108163161
5	1.102862101
6	1.097634404
7	1.092591021
8	1.087377865
9	1.083755041
10	1.079589249
11	1.076032502
12	1.072018651
13	1.069072681
14	1.066307537
15	1.063342014
16	1.060805775
17	1.05783227
18	1.055364448
19	1.052951718
20	1.050919043
21	1.048826701
22	1.046439583
23	1.044997035
24	1.043034943
25	1.04119741
26	1.039884367
27	1.038326725
28	1.037192813
29	1.035608301
30	1.034280961
31	1.033111109
32	1.031929635
33	1.030897773
34	1.029352129
35	1.028269189
36	1.027100404
37	1.025961721
38	1.025224309
39	1.02438487
40	1.023407301
41	1.0229514
42	1.022155428
43	1.021622076
44	1.020948264
45	1.020344916
46	1.01931059
47	1.018467225
48	1.017753832
49	1.016951893
50	1.016226554
51	1.015278014
52	1.014441337
53	1.014010446
54	1.013299901
55	1.012681642
56	1.012448524
57	1.012015432
58	1.011474366
59	1.011100607
60	1.010318821
61	1.009889031
62	1.009077101
63	1.008501892
64	1.007953513
65	1.007499361
66	1.007146147
67	1.006696289
68	1.006212602
69	1.005341762
70	1.004896599
71	1.00429924
72	1.003681447
73	1.002940322
74	1.002388042
75	1.001569817
76	1.001087061
77	1.000361372
78	0.9999793949
79	0.999391753
80	0.9991161922
81	0.9985973015
82	0.9980400559
83	0.9976443215
84	0.9970893939
85	0.9966637352
86	0.9961838909
87	0.9955225718
88	0.9950595567
89	0.9942006811
90	0.993416675
91	0.9930418977
92	0.9925076622
93	0.9922303365
94	0.9918011973
95	0.9913281947
96	0.9909019835
97	0.9904363498
98	0.9901738281
99	0.9897847811
100	0.9895506553
101	0.9892403701
102	0.9887952079
103	0.9884819513
104	0.9881881996
105	0.9878612603
106	0.9874226065
107	0.9870694475
108	0.9868920387
109	0.986531419
110	0.9864233241
111	0.9860699488
112	0.985734055
113	0.9853535899
114	0.9849877196
115	0.9846704967
116	0.9841405847
117	0.9837031378
118	0.9832296247
119	0.9830963838
120	0.9824782236
121	0.9821121613
122	0.981799394
123	0.9813722631
124	0.9808946972
125	0.9804586338
126	0.979740266
127	0.9791428107
128	0.9788414427
129	0.9783886247
130	0.9778752374
131	0.9777148782
132	0.9774019305
133	0.9769091392
134	0.9763822175
135	0.9757594501
136	0.9752147269
137	0.974501726
138	0.9742753802
139	0.9740437518
140	0.9738039634
141	0.9733451306
142	0.9726907916
143	0.9720283142
144	0.9714603036
145	0.9711851863
146	0.9706943148
147	0.9703538889
148	0.9698566152
149	0.9695392475
150	0.9691771607
151	0.9687797607
152	0.9682729631
153	0.967759797
154	0.9672833309
155	0.966864419
156	0.9665231983
157	0.9658909087
158	0.9655380129
159	0.9650851822
160	0.9644734251
161	0.9639521157
162	0.9636503657
163	0.9630936191
164	0.9627358758
165	0.9623235418
166	0.9619564648
167	0.9614119195
168	0.9609771166
169	0.9606414492
170	0.960237176
171	0.9595431652
172	0.9592751897
173	0.9588590815
174	0.9582191606
175	0.9579988956
176	0.9575881802
177	0.9574588884
178	0.9570567617
179	0.9567092254
180	0.9564000782
181	0.9558373776
182	0.9554333259
183	0.954953076
184	0.954642771
185	0.9540866673
186	0.9538797816
187	0.953309305
188	0.9528279216
189	0.9522790867
190	0.9517553191
191	0.9513420861
192	0.9507455213
193	0.9502089254
194	0.9497524215
195	0.9491318499
196	0.9487310058
197	0.9483433378
198	0.9480549369
199	0.9476320393
200	0.9471084939
201	0.9466391688
202	0.9460704814
