iter	Passed	Remaining
0	1	1480
1	2	1274
2	3	1231
3	4	1205
4	6	1201
5	7	1172
6	8	1152
7	9	1132
8	10	1136
9	11	1129
10	12	1122
11	13	1107
12	14	1103
13	15	1095
14	16	1112
15	18	1109
16	19	1114
17	20	1113
18	21	1109
19	22	1110
20	23	1105
21	24	1107
22	26	1105
23	27	1105
24	28	1106
25	29	1105
26	30	1104
27	31	1107
28	33	1109
29	34	1110
30	35	1108
31	36	1107
32	37	1107
33	38	1104
34	39	1101
35	41	1100
36	42	1105
37	43	1103
38	44	1107
39	46	1106
40	47	1102
41	48	1101
42	49	1101
43	50	1098
44	51	1094
45	52	1092
46	53	1092
47	55	1091
48	56	1093
49	57	1090
50	58	1087
51	59	1086
52	60	1086
53	62	1088
54	63	1091
55	64	1089
56	65	1089
57	67	1089
58	68	1087
59	69	1086
60	70	1085
61	71	1084
62	72	1084
63	73	1081
64	75	1079
65	76	1077
66	77	1076
67	78	1076
68	79	1073
69	80	1071
70	82	1073
71	83	1072
72	84	1070
73	85	1067
74	86	1065
75	87	1065
76	88	1063
77	89	1062
78	91	1061
79	92	1060
80	93	1059
81	94	1058
82	95	1056
83	96	1054
84	98	1056
85	99	1055
86	100	1054
87	101	1052
88	102	1050
89	103	1049
90	104	1047
91	106	1046
92	107	1045
93	108	1043
94	109	1043
95	110	1041
96	111	1041
97	112	1039
98	113	1037
99	115	1035
100	116	1034
101	117	1033
102	118	1031
103	119	1032
104	121	1031
105	121	1028
106	123	1027
107	124	1027
108	125	1027
109	126	1025
110	127	1024
111	129	1023
112	130	1022
113	131	1022
114	132	1021
115	134	1021
116	135	1021
117	136	1021
118	137	1020
119	138	1018
120	139	1016
121	141	1015
122	142	1015
123	143	1014
124	144	1012
125	145	1010
126	146	1009
127	147	1007
128	149	1010
129	150	1009
130	151	1008
131	153	1006
132	154	1010
133	156	1008
134	157	1006
135	158	1005
136	159	1004
137	160	1004
138	162	1004
139	163	1002
140	164	1000
141	165	999
142	166	998
143	167	997
144	169	1001
145	171	1000
146	172	998
147	173	996
148	174	995
149	175	993
150	176	994
151	177	992
152	179	991
153	180	990
154	181	989
155	182	988
156	183	986
157	184	984
158	185	983
159	187	981
160	188	980
161	189	979
162	190	977
163	191	976
164	192	975
165	193	973
166	195	972
167	196	971
168	197	970
169	198	968
170	199	967
171	200	966
172	201	964
173	202	963
174	204	962
175	205	960
176	206	962
177	208	960
178	209	959
179	210	958
180	211	956
181	212	955
182	213	954
183	214	952
184	215	951
185	217	950
186	218	949
187	219	948
188	220	947
189	221	946
190	223	944
191	224	943
192	225	942
193	226	941
194	227	940
195	228	938
196	230	937
197	231	936
198	232	934
199	233	933
200	234	932
201	235	932
202	237	930
203	238	929
204	239	927
